SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
MVB2015-952	Lithobates catesbeianus	Lithobates	Ranidae	Anura	Adult	CaptiveNatural	CaptiveNatural	Lithobates catesbeianus.CaptiveNatural	unknown	Male	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	Temperate	34.385278	132.455288	Aquatic	Semi_aquatic	Pond	4.March.2028	March.2015	Unknown	temperate.deciduous.forest	Not.forested	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-952	Born in captivity	2 years and up	gravel	Rock	Natural Substrate	NA
MVB2015-956	Lithobates catesbeianus	Lithobates	Ranidae	Anura	Adult	CaptiveNatural	CaptiveNatural	Lithobates catesbeianus.CaptiveNatural	unknown	Female	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	Temperate	34.385278	132.455288	Aquatic	Semi_aquatic	Pond	4.March.2029	March.2015	Unknown	temperate.deciduous.forest	Not.forested	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-956	Born in captivity	2 years and up	gravel	Rock	Natural Substrate	NA
MVB2015-960	Lithobates catesbeianus	Lithobates	Ranidae	Anura	Adult	CaptiveNatural	CaptiveNatural	Lithobates catesbeianus.CaptiveNatural	unknown	Female	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	Temperate	34.385278	132.455288	Aquatic	Semi_aquatic	Pond	4.March.2030	March.2015	Unknown	temperate.deciduous.forest	Not.forested	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-960	Born in captivity	2 years and up	gravel	Rock	Natural Substrate	NA
MVB2015-963	Lithobates catesbeianus	Lithobates	Ranidae	Anura	Adult	CaptiveNatural	CaptiveNatural	Lithobates catesbeianus.CaptiveNatural	unknown	Female	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	Temperate	34.385278	132.455288	Aquatic	Semi_aquatic	Pond	4.March.2031	March.2015	Unknown	temperate.deciduous.forest	Not.forested	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-963	Born in captivity	2 years and up	gravel	Rock	Natural Substrate	NA
AL.Exp.P12D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P12D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P17D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P17D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P18D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P18D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P19D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P19D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P20D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P20D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
AL.Exp.P2D28	Plethodon cinereus	Plethodon	Plethodontidae	Caudata	Adult	CaptiveNatural	CaptiveNatural	Plethodon cinereus.CaptiveNatural	unknown	Unknown	NA	Virginia	USA	Temperate	NA	NA	Captive	Terrestrial	Terrestrial	11_10_2007	November.2011	Unknown	NA	Captive	DNA_Free_Water	Ventral	MoBioPS_Single	DoubleIndex	Colorado	Andrew.Loudon	Keep	AL.Exp.P2D28	Brought into Captivity	28 days	Natural Soil	Soil	Natural Substrate	NA
