SampleID	FrogSpecies	FrogGenus	FrogFamily	FrogOrder	LifeStage	CaptiveWild	CaptiveWild2	Species_captive_wild	Type_of_captivity	FrogSex	Locality	State	Country	Region	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration.Captivity	CaptivitySubstrateDetailed	GroupedSubstrate	BinarySubstrate	Description
OSF.F141	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x175	Dalhousie	Andy.Loudon	Keep	OSF.F141	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
OSF.F142	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x176	Dalhousie	Andy.Loudon	Keep	OSF.F142	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
OSF.F143	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x177	Dalhousie	Andy.Loudon	Keep	OSF.F143	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
OSF.F145	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x178	Dalhousie	Andy.Loudon	Keep	OSF.F145	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
OSF.F146	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x179	Dalhousie	Andy.Loudon	Keep	OSF.F146	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
OSF.F148	Rana pretsiosa	Rana	Ranidae	Anura	Adult	Captive	CaptiveNatural	Rana pretsiosa.Captive	unknown	Uknown	Vancouver Aquarium	British Columbia	Canada	Temperate	NA	NA	Aquatic	Semi_aquatic	NA	3_15_2016	March.2016	Spring	Pacific.Northwest	Unknown	Sterile_Provasoli	skin	MoBioPS_Plate	2x180	Dalhousie	Andy.Loudon	Keep	OSF.F148	Born in Captivity	1 year	soil and water natural	Soil	Natural Substrate	Illumina.MiSeq
ZA37.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Strabomantis bufoniformis	Strabomantis	Craugastoridae	Anura	Adult	Captive	CaptiveNatural	Strabomantis bufoniformis.Captive	unknown	Unknown	Atlanta Zoo	Atlanta	USA	Tropical	NA	NA	Captive	Semi_aquatic	Terrestrial	Unknown	Unknown	Unknown	NA	Captive	Unknown	Ventral	Unknown	Unknown	Colorado	Doug.Woodhams	Keep	ZA37.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Brought into Captivity	7 years	NA	Soil	Natural Substrate	NA
ZA72.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Strabomantis bufoniformis	Strabomantis	Craugastoridae	Anura	Adult	Captive	CaptiveNatural	Strabomantis bufoniformis.Captive	unknown	Unknown	Atlanta Zoo	Atlanta	USA	Tropical	NA	NA	Captive	Semi_aquatic	Terrestrial	Unknown	Unknown	Unknown	NA	Captive	Unknown	Ventral	Unknown	Unknown	Colorado	Doug.Woodhams	Keep	ZA72.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Brought into Captivity	7 years	NA	Soil	Natural Substrate	NA
ZA81.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Strabomantis bufoniformis	Strabomantis	Craugastoridae	Anura	Adult	Captive	CaptiveNatural	Strabomantis bufoniformis.Captive	unknown	Unknown	Atlanta Zoo	Atlanta	USA	Tropical	NA	NA	Captive	Semi_aquatic	Terrestrial	Unknown	Unknown	Unknown	NA	Captive	Unknown	Ventral	Unknown	Unknown	Colorado	Doug.Woodhams	Keep	ZA81.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Brought into Captivity	7 years	NA	Soil	Natural Substrate	NA
ZA97.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Strabomantis bufoniformis	Strabomantis	Craugastoridae	Anura	Adult	Captive	CaptiveNatural	Strabomantis bufoniformis.Captive	unknown	Unknown	Atlanta Zoo	Atlanta	USA	Tropical	NA	NA	Captive	Semi_aquatic	Terrestrial	Unknown	Unknown	Unknown	NA	Captive	Unknown	Ventral	Unknown	Unknown	Colorado	Doug.Woodhams	Keep	ZA97.Strabomantis.bufoniformis.Atlanta.Zoo.captive	Brought into Captivity	7 years	NA	Soil	Natural Substrate	NA
P68-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P68-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P68_D29_Juvenile_Swab
P78-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P78-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P78_D29_Juvenile_Swab
P79-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P79-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P79_D29_Juvenile_Swab
P84-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P84-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P84_D29_Juvenile_Swab
P91-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P91-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P91_D29_Juvenile_Swab
P92-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P92-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P92_D29_Juvenile_Swab
P93-D29	Ambystoma maculatum	Ambystoma	Ambystomatidae	Caudata	Juvenile	CaptiveNatural	CaptiveNatural	Ambystoma maculatum.CaptiveNatural	unknown	Juvenile	Boston	MA	USA	Temperate	42.314257	_71.040723	NA	NA	NA	NA	NA	NA	NA	NA	NA	Swab	mobio.powersoil.dna_rna	MiSeq	UMass Boston	Kelly	Keep	P93-D29	Born in Captivity	9 months	Soil	Soil	Natural Substrate	P93_D29_Juvenile_Swab
