Study.SpeciesID	FrogGenus	FrogFamily	FrogOrder	LifeStage	Captive_Wild	Type_of_captivity_2	Species_captive_wild	Type_of_captivity	FrogSex	Region	Locality	State	Country	Latitude	Longitude	CollectionHabitat	HabitatClass	Larval_Dev_Site	CollectionDate	MonthYear	CollectionSeason	BioZone	CollectionMacrohabitat	RinseMethod	SampleType	ExtractionMethod	SequenceMethod	SequenceCenter	SampleContact	Keep_1	ID_Sampo	GenerationCaptivity	Duration of Captivity (days)	Binded_duration	CaptivitySubstrateDetails	GroupedSubstrate	CaptivitySubstrateBinary	FrogSpecies_Again
Atelopus certus	Atelopus	Bufonidae	Anura	adult	Captive	NA	Atelopus certus_Captive	NA	female	Tropical	Gamboa (captive)	NA	Panama	NA	frozen swab in glycerol	1.225379808	NA	CSA_Acer_014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CSA-Acer-014	BornCaptivity	2183	1_year__7_years	false bottom	Sterile	Sterile	Atelopus certus
Atelopus limosus	Atelopus	Bufonidae	Anura	adult	Captive	NA	Atelopus limosus_Captive	NA	male	Tropical	Gamboa (captive)	NA	Panama	NA	frozen swab in glycerol	1.727733578	NA	CBR_Alim_39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	CBR-Alim-39	BornCaptivity	1916	1_year__7_years	false bottom	Sterile	Sterile	Atelopus limosus
Atelopus varius	Atelopus	Bufonidae	Anura	adult	Captive	NA	Atelopus varius_Captive	NA	male	Tropical	Gamboa (captive)	NA	Panama	NA	frozen dry swab	NA	NA	DON_Avar_043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	DON-Avar-043	BroughtCaptivity	19	1_day_1_month	false bottom	Sterile	Sterile	Atelopus varius
Espadarana prosoblepon	Espadarana	Centrolenidae	Anura	adult	Captive	NA	Espadarana prosoblepon_Captive	NA	NA	Tropical	EVACC (captive)	NA	Panama	captive	frozen swab in glycerol	_1.646511549	NA	AH_070	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Andreas	Keep	AH-070	BroughtCaptivity	NA	NA	Missing	Soil	Natural Substrate	Espadarana prosoblepon
Hylomantis lemur	Phyllomedusidae	Hylidae	Anura	Adult	Captive	NA	Hylomantis lemur_Captive	unknown	Unknown	Tropical	Panama	NA	Panama	Tropical	NA	Captive	Arboreal	Pond	7.20.09	July.2009	Wet	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x150	Colorado	Doug.Woodhams	Keep	HL1.Hylomantis.lemur.Costa.Rica.captive	BroughtCaptivity	4 months	1_month__6_months	Natural Soil	Soil	Natural Substrate	Hylomantis lemur
Lithobates catesbeianus	Lithobates	Ranidae	Anura	Adult	Captive	NA	Lithobates catesbeianus_Captive	unknown	Male	Tropical	Hiroshima.Univ.Institute.Amph.Biol	NA	Japan	34.385278	132.455288	Aquatic	Semi_aquatic	Pond	4.March.2028	March.2015	Unknown	temperate.deciduous.forest	Not.forested	autoclaved.filtered.ddH2O	Ventral	MoBioPS_Plate	2x250	HZI	Vences.MiguelVences	Keep	MVB2015-952	BornCaptivity	2 years and up	1_year__7_years	gravel	Rock	Natural Substrate	Lithobates catesbeianus
Mantella aurantiaca	Mantella	Mantellidae	Anura	Adult	Captive	NA	Mantella aurantiaca_Captive	unknown	Female	Tropical	Mitsinjo Breeding Facility	Breeding.Center	Madagascar	NA	NA	Captive	Terrestrial	Pond	11.Sept.13	September.2013	Dry	NA	NA	50ml.Uvsterilize	Ventral	MoBioPS_Single	2x150	Colorado	Vences.MollyBletz	Keep	Mantella.aurantiaca.10.023.1267819	BornCaptivity	1 year	1_year__7_years	Gravel leaf litter and  Live plants	Soil	Natural Substrate	Mantella aurantiaca
Osteopilus septentrionalis	Osteopilus	Hylidae	Anura	Adult	Captive	NA	Osteopilus septentrionalis_Captive	unknown	Unknown	Tropical	Florida	Florida	USA	29.652	82.325	Captive	Arboreal	NA	9_30_07	October.2011	Captive	NA	Captive	Sterile.Water	Ventral	MoBioPS_Plate	2x150	Colorado	Jordan.Kueneman	Keep	mck88Pre.1Osse.2.452819	BroughtCaptivity	2 weeks	1_day_1_month	Sterile	Sterile	Sterile	Osteopilus septentrionalis
Strabomantis bufoniformis	Strabomantis	Craugastoridae	Anura	Adult	Captive	NA	Strabomantis bufoniformis_Captive	unknown	Unknown	Tropical	Atlanta Zoo	Atlanta	USA	NA	NA	Captive	Semi_aquatic	Terrestrial	Unknown	Unknown	Unknown	NA	Captive	Unknown	Ventral	Unknown	Unknown	Colorado	Doug.Woodhams	Keep	ZA37.Strabomantis.bufoniformis.Atlanta.Zoo.captive	BroughtCaptivity	7 years	1_year__7_years	NA	Soil	Natural Substrate	Strabomantis bufoniformis
Atelopus zeteki	Atelopus	Bufonidae	Anura	NA	Captive	NA	Atelopus zeteki_Captive	unknown	F	Tropical	National.Zoo	NA	Panama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mathew.Becker	Keep	PGFC.1	BornCaptivity	2 years	1_year__7_years	soil and water	Soil	Natural Substrate	Atelopus zeteki
